bin,class,bevfusion_lidar,bevfusion_lidar_cam
0-20,barrier,0.7163379278902194,0.7248453093604511
0-20,bicycle,0.7040992569014561,0.7551765687169233
0-20,bus,0.894096972884845,0.8921580592538718
0-20,car,0.9670843609184036,0.9650112228165826
0-20,construction_vehicle,0.4511586802742943,0.4646604881622372
0-20,motorcycle,0.8584146133451385,0.8774306461115646
0-20,pedestrian,0.9159502571065172,0.928223391980824
0-20,traffic_cone,0.7926704365642827,0.8335215963067946
0-20,trailer,0.676909592161842,0.6935040151510772
0-20,truck,0.7411332787327416,0.7265858283874922
20-30,barrier,0.6413412228532861,0.6764483429730733
20-30,bicycle,0.4425537967358376,0.5255227906057091
20-30,bus,0.8166539861192283,0.8245582190925981
20-30,car,0.8849674294872341,0.893726302909312
20-30,construction_vehicle,0.2351740890741037,0.2546839816718082
20-30,motorcycle,0.6043599319584582,0.6874523149673116
20-30,pedestrian,0.8217682775260314,0.8418839406587275
20-30,traffic_cone,0.4717382691080366,0.5558019279028042
20-30,trailer,0.4593808051452454,0.4925559032449489
20-30,truck,0.633044108461516,0.6710489596452245
30-40,barrier,0.0,0.0
30-40,bicycle,0.1757430658880721,0.2656976654939605
30-40,bus,0.6152662966884794,0.6489324654991421
30-40,car,0.7447911059385137,0.7912767791310334
30-40,construction_vehicle,0.1436189094322582,0.1872275403457816
30-40,motorcycle,0.3809403495413508,0.5379604322165409
30-40,pedestrian,0.7371214091246046,0.7607056436103873
30-40,traffic_cone,0.0,0.0
30-40,trailer,0.3364210272700392,0.3883263335760932
30-40,truck,0.5354562170688573,0.5855269885154737
40-50,barrier,0.0,0.0
40-50,bicycle,0.0,0.0
40-50,bus,0.4576838900863633,0.5503897722351743
40-50,car,0.5919901119370207,0.6723353563793264
40-50,construction_vehicle,0.0838379766613587,0.1488141896671168
40-50,motorcycle,0.0,0.0
40-50,pedestrian,0.0,0.0
40-50,traffic_cone,0.0,0.0
40-50,trailer,0.2180103517271162,0.2868896529900454
40-50,truck,0.3159772460982413,0.3904165293988599
