model,class,metric,value
bevfusion_lidar,car,AP_dist_0.5,0.7840932594243398
bevfusion_lidar,car,AP_dist_1.0,0.8758632680365764
bevfusion_lidar,car,AP_dist_2.0,0.9052051640017909
bevfusion_lidar,car,AP_dist_4.0,0.9169980183100722
bevfusion_lidar,car,trans_err,0.17262275077244002
bevfusion_lidar,car,scale_err,0.15178462578011084
bevfusion_lidar,car,orient_err,0.08790879736553046
bevfusion_lidar,car,vel_err,0.2735500598908667
bevfusion_lidar,car,attr_err,0.1908511587448503
bevfusion_lidar,truck,AP_dist_0.5,0.41426096152148945
bevfusion_lidar,truck,AP_dist_1.0,0.5951963450924982
bevfusion_lidar,truck,AP_dist_2.0,0.6733986155526047
bevfusion_lidar,truck,AP_dist_4.0,0.7055449080856655
bevfusion_lidar,truck,trans_err,0.32462348856450324
bevfusion_lidar,truck,scale_err,0.18433795874253625
bevfusion_lidar,truck,orient_err,0.09500049635445762
bevfusion_lidar,truck,vel_err,0.24859685604073334
bevfusion_lidar,truck,attr_err,0.2274746797095784
bevfusion_lidar,bus,AP_dist_0.5,0.46859358631114423
bevfusion_lidar,bus,AP_dist_1.0,0.7289474487679587
bevfusion_lidar,bus,AP_dist_2.0,0.8540482919946693
bevfusion_lidar,bus,AP_dist_4.0,0.8775140039394618
bevfusion_lidar,bus,trans_err,0.3317916435714791
bevfusion_lidar,bus,scale_err,0.1867227173832084
bevfusion_lidar,bus,orient_err,0.051077387368832994
bevfusion_lidar,bus,vel_err,0.44858539348755366
bevfusion_lidar,bus,attr_err,0.23929779434862689
bevfusion_lidar,trailer,AP_dist_0.5,0.13892792357492573
bevfusion_lidar,trailer,AP_dist_1.0,0.39461242374909344
bevfusion_lidar,trailer,AP_dist_2.0,0.5752155988286028
bevfusion_lidar,trailer,AP_dist_4.0,0.6568982543985629
bevfusion_lidar,trailer,trans_err,0.5282228526017997
bevfusion_lidar,trailer,scale_err,0.21549020005479863
bevfusion_lidar,trailer,orient_err,0.5607728775274163
bevfusion_lidar,trailer,vel_err,0.19060159034950624
bevfusion_lidar,trailer,attr_err,0.1601153601099867
bevfusion_lidar,construction_vehicle,AP_dist_0.5,0.03665825251697189
bevfusion_lidar,construction_vehicle,AP_dist_1.0,0.18260606202459614
bevfusion_lidar,construction_vehicle,AP_dist_2.0,0.3368510940224067
bevfusion_lidar,construction_vehicle,AP_dist_4.0,0.4650643146474043
bevfusion_lidar,construction_vehicle,trans_err,0.6876476037655725
bevfusion_lidar,construction_vehicle,scale_err,0.40931131494976286
bevfusion_lidar,construction_vehicle,orient_err,0.8703917931992369
bevfusion_lidar,construction_vehicle,vel_err,0.12757882509916157
bevfusion_lidar,construction_vehicle,attr_err,0.32420419433258707
bevfusion_lidar,pedestrian,AP_dist_0.5,0.8463447690900088
bevfusion_lidar,pedestrian,AP_dist_1.0,0.8582362980065139
bevfusion_lidar,pedestrian,AP_dist_2.0,0.8689452226604095
bevfusion_lidar,pedestrian,AP_dist_4.0,0.880935945429046
bevfusion_lidar,pedestrian,trans_err,0.13066832046135557
bevfusion_lidar,pedestrian,scale_err,0.28460373614386714
bevfusion_lidar,pedestrian,orient_err,0.38284850182404717
bevfusion_lidar,pedestrian,vel_err,0.2244399845431975
bevfusion_lidar,pedestrian,attr_err,0.09602887428342224
bevfusion_lidar,motorcycle,AP_dist_0.5,0.6042783077045841
bevfusion_lidar,motorcycle,AP_dist_1.0,0.7104081652354278
bevfusion_lidar,motorcycle,AP_dist_2.0,0.724198667758563
bevfusion_lidar,motorcycle,AP_dist_4.0,0.7360628140918252
bevfusion_lidar,motorcycle,trans_err,0.18564360193598303
bevfusion_lidar,motorcycle,scale_err,0.23723145962618472
bevfusion_lidar,motorcycle,orient_err,0.22706733227569145
bevfusion_lidar,motorcycle,vel_err,0.5061975866638561
bevfusion_lidar,motorcycle,attr_err,0.25393373809234604
bevfusion_lidar,bicycle,AP_dist_0.5,0.5278079991442459
bevfusion_lidar,bicycle,AP_dist_1.0,0.5511131183100856
bevfusion_lidar,bicycle,AP_dist_2.0,0.5545383598142919
bevfusion_lidar,bicycle,AP_dist_4.0,0.5597098610072602
bevfusion_lidar,bicycle,trans_err,0.1548945635266128
bevfusion_lidar,bicycle,scale_err,0.25067468799312204
bevfusion_lidar,bicycle,orient_err,0.34272250409925836
bevfusion_lidar,bicycle,vel_err,0.22081827147126826
bevfusion_lidar,bicycle,attr_err,0.00952361749411938
bevfusion_lidar,traffic_cone,AP_dist_0.5,0.7126225851392515
bevfusion_lidar,traffic_cone,AP_dist_1.0,0.7245568195910062
bevfusion_lidar,traffic_cone,AP_dist_2.0,0.7405199985458244
bevfusion_lidar,traffic_cone,AP_dist_4.0,0.7719799596348854
bevfusion_lidar,traffic_cone,trans_err,0.1256817421235232
bevfusion_lidar,traffic_cone,scale_err,0.3220493592751313
bevfusion_lidar,traffic_cone,orient_err,
bevfusion_lidar,traffic_cone,vel_err,
bevfusion_lidar,traffic_cone,attr_err,
bevfusion_lidar,barrier,AP_dist_0.5,0.6014138803178763
